sigma,theta,gain_u_over_x,J_mean,J_mean_se,theta_eval,J_exp,J_exp_se
0.5,0.0,-0.9855868606171074,1.2543647349976184,0.0058133350160692095,1.0,1.6392316026175804,0.018526964808745768
0.5,0.25,-1.0003364615515973,1.2543834879095235,0.0057983495678253175,0.25,1.3231601415519423,0.006716517342023375
0.5,0.5,-1.0456117617295635,1.255101014322817,0.005728502422022658,0.5,1.4026764274503556,0.00817087029797335
0.5,0.75,-1.0945884100678558,1.2572558672615077,0.005659328226959631,0.75,1.4967333144885142,0.01094249094710798
0.5,1.0,-1.1476176848775403,1.261063968515253,0.005591227150979847,1.0,1.6095057912360966,0.01641416219238371
0.7,0.0,-0.9881010112915933,1.4962864184244375,0.008678231546255806,1.0,2.980308150264701,0.15583491361108912
0.7,0.25,-1.0466012513258531,1.4970737228500859,0.00856289548279972,0.25,1.6603995550176016,0.011722699418210034
0.7,0.5,-1.1467080900708835,1.5032600033491088,0.008371165274244554,0.5,1.8859507455330977,0.02040926753032535
0.7,0.75,-1.2639928341358093,1.5172702881157345,0.008187311309009807,0.75,2.2128436490618006,0.047517344251600924
0.7,1.0,-1.4021300757999506,1.5414509213261798,0.00801701686737808,1.0,2.6762029539127985,0.10738771574425363
0.9,0.0,-0.9898542194866369,1.818400622437095,0.012020434438575917,1.0,6.572606266548075,0.5459064211907617
0.9,0.25,-1.112477539633737,1.8229533511753035,0.011705072751286393,0.25,2.1666933166216253,0.021296047764373827
0.9,0.5,-1.307092422921546,1.8485263705576587,0.011304434897228911,0.5,2.786636960532789,0.07344734856093081
0.9,0.75,-1.5634230663010982,1.9074246519049276,0.010958132659233202,0.75,3.8733928304885645,0.23500271733551467
0.9,1.0,-1.9100578771613599,2.0176041101219226,0.010714714166535319,1.0,5.167339991629092,0.3805947376326779
1.1,0.0,-0.9911515123178977,2.2207081303715066,0.015911636036347095,1.0,12.11149758061232,0.8194229488544079
1.1,0.25,-1.2041340887514809,2.2362941456240297,0.015261833533019024,0.25,2.923142078430505,0.04478390116144083
1.1,0.5,-1.5632575469201875,2.3188963798432543,0.014574849971431564,0.5,4.613783719601967,0.2856599888431018
1.1,0.75,-2.1298831214370084,2.530336009490086,0.014168717874823199,0.75,7.101247793530557,0.57275582526384
1.1,1.0,-3.1472003357286233,3.0100247655015058,0.014383628104201358,1.0,9.076919313615461,0.5661191999601366
